refperiodid,freqcode,typecode,refyear,refmonth,reporteriso,reporterdesc,partneriso,partnerdesc,classificationcode,aggrlevel,isleaf,moscode,motcode,flowcode,cmdcode,cmddesc,qty,netwgt,cifvalue,fobvalue,primaryvalue,isreported
20080101,A,C,2008,52,IND,India,RUS,Russian Federation,H2,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,1090744013.0,1090744013.0,True
20080101,A,C,2008,52,ZAF,South Africa,JPN,Japan,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,8119608881.0,8119608881.0,True
20080101,A,C,2008,52,IND,India,RUS,Russian Federation,H2,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,4451326284.0,0.0,4451326284.0,True
20080101,A,C,2008,52,ZAF,South Africa,NGA,Nigeria,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,0.0,1892425755.0,1892425755.0,True
20080101,A,C,2008,52,SGP,Singapore,NGA,Nigeria,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,427409381.0,427409381.0,True
20080101,A,C,2008,52,SGP,Singapore,NGA,Nigeria,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,7047020.0,0.0,7047020.0,True
20080101,A,C,2008,52,IND,India,NGA,Nigeria,H2,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,1369418230.0,1369418230.0,True
20080101,A,C,2008,52,IND,India,NGA,Nigeria,H2,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,10124668706.0,0.0,10124668706.0,True
20080101,A,C,2008,52,ZAF,South Africa,NLD,Netherlands,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,3463622169.0,3463622169.0,True
20080101,A,C,2008,52,ZAF,South Africa,NGA,Nigeria,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,955042526.0,955042526.0,True
20080101,A,C,2008,52,NGA,Nigeria,ZAF,South Africa,H2,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,2617612471.0,2617612471.0,True
20080101,A,C,2008,52,ZAF,South Africa,JPN,Japan,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,0.0,4882610733.0,4882610733.0,True
20080101,A,C,2008,52,SGP,Singapore,JPN,Japan,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,26416238090.0,0.0,26416238090.0,True
20080101,A,C,2008,52,IND,India,CHN,China,H2,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,10093926793.0,10093926793.0,True
20080101,A,C,2008,52,SGP,Singapore,CHN,China,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,33797289245.0,0.0,33797289245.0,True
20080101,A,C,2008,52,SGP,Singapore,CHN,China,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,31085304458.0,31085304458.0,True
20080101,A,C,2008,52,ZAF,South Africa,CHN,China,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,0.0,9909266189.0,9909266189.0,True
20080101,A,C,2008,52,ZAF,South Africa,CHN,China,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,4309779843.0,4309779843.0,True
20080101,A,C,2008,52,IND,India,FRA,France,H2,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,6404518480.0,0.0,6404518480.0,True
20080101,A,C,2008,52,IND,India,FRA,France,H2,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,3086397514.0,3086397514.0,True
20080101,A,C,2008,52,SGP,Singapore,FRA,France,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,7891264222.0,0.0,7891264222.0,True
20080101,A,C,2008,52,SGP,Singapore,FRA,France,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,4738056086.0,4738056086.0,True
20080101,A,C,2008,52,ZAF,South Africa,FRA,France,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,0.0,2502564644.0,2502564644.0,True
20080101,A,C,2008,52,ZAF,South Africa,FRA,France,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,1447208743.0,1447208743.0,True
20080101,A,C,2008,52,IND,India,DEU,Germany,H2,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,11418567837.0,0.0,11418567837.0,True
20080101,A,C,2008,52,IND,India,DEU,Germany,H2,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,5915161038.0,5915161038.0,True
20080101,A,C,2008,52,SGP,Singapore,DEU,Germany,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,9241593621.0,0.0,9241593621.0,True
20080101,A,C,2008,52,SGP,Singapore,DEU,Germany,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,6651954604.0,6651954604.0,True
20080101,A,C,2008,52,ZAF,South Africa,DEU,Germany,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,0.0,9914010385.0,9914010385.0,True
20080101,A,C,2008,52,ZAF,South Africa,DEU,Germany,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,5748889960.0,5748889960.0,True
20080101,A,C,2008,52,IND,India,JPN,Japan,H2,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,3624208847.0,3624208847.0,True
20080101,A,C,2008,52,IND,India,JPN,Japan,H2,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,7784411156.0,0.0,7784411156.0,True
20080101,A,C,2008,52,ZAF,South Africa,ITA,Italy,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,1595169513.0,1595169513.0,True
20080101,A,C,2008,52,ZAF,South Africa,ITA,Italy,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,0.0,2133796117.0,2133796117.0,True
20080101,A,C,2008,52,SGP,Singapore,ITA,Italy,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,684470752.0,684470752.0,True
20080101,A,C,2008,52,SGP,Singapore,ITA,Italy,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,3455837880.0,0.0,3455837880.0,True
20080101,A,C,2008,52,SGP,Singapore,JPN,Japan,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,16659803006.0,16659803006.0,True
20080101,A,C,2008,52,IND,India,ITA,Italy,H2,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,3999857886.0,3999857886.0,True
20080101,A,C,2008,52,ZAF,South Africa,HKG,"China, Hong Kong SAR",H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,645113259.0,645113259.0,True
20080101,A,C,2008,52,ZAF,South Africa,HKG,"China, Hong Kong SAR",H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,0.0,328171197.0,328171197.0,True
20080101,A,C,2008,52,SGP,Singapore,HKG,"China, Hong Kong SAR",H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,35169394005.0,35169394005.0,True
20080101,A,C,2008,52,SGP,Singapore,HKG,"China, Hong Kong SAR",H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,3651707132.0,0.0,3651707132.0,True
20080101,A,C,2008,52,IND,India,HKG,"China, Hong Kong SAR",H2,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,6770545478.0,6770545478.0,True
20080101,A,C,2008,52,IND,India,HKG,"China, Hong Kong SAR",H2,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,4998197389.0,0.0,4998197389.0,True
20080101,A,C,2008,52,IND,India,ITA,Italy,H2,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,4575537632.0,0.0,4575537632.0,True
20080101,A,C,2008,52,IND,India,SAU,Saudi Arabia,H2,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,5375371709.0,5375371709.0,True
20080101,A,C,2008,52,NGA,Nigeria,ZAF,South Africa,H2,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,512217182.0,0.0,512217182.0,True
20080101,A,C,2008,52,NLD,Netherlands,ZAF,South Africa,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,2398479845.0,0.0,2398479845.0,True
20080101,A,C,2008,52,RUS,Russian Federation,CHN,China,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,34768715531.0,0.0,34768715531.0,True
20080101,A,C,2008,52,RUS,Russian Federation,CHN,China,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,21147334469.0,21147334469.0,True
20080101,A,C,2008,52,SAU,Saudi Arabia,CHN,China,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,12414045651.0,0.0,12414045651.0,True
20080101,A,C,2008,52,SAU,Saudi Arabia,CHN,China,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,2130873864.0,2130873864.0,True
20080101,A,C,2008,52,NLD,Netherlands,FRA,France,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,24876047227.0,0.0,24876047227.0,True
20080101,A,C,2008,52,NLD,Netherlands,FRA,France,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,47707807272.0,47707807272.0,True
20080101,A,C,2008,52,NGA,Nigeria,FRA,France,H2,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,1331763617.0,0.0,1331763617.0,True
20080101,A,C,2008,52,NGA,Nigeria,FRA,France,H2,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,3370602476.0,3370602476.0,True
20080101,A,C,2008,52,RUS,Russian Federation,FRA,France,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,10066091522.0,0.0,10066091522.0,True
20080101,A,C,2008,52,RUS,Russian Federation,FRA,France,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,12282139219.0,12282139219.0,True
20080101,A,C,2008,52,SAU,Saudi Arabia,FRA,France,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,3800389017.0,0.0,3800389017.0,True
20080101,A,C,2008,52,SAU,Saudi Arabia,FRA,France,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,267643801.0,267643801.0,True
20080101,A,C,2008,52,NLD,Netherlands,DEU,Germany,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,95216953963.0,0.0,95216953963.0,True
20080101,A,C,2008,52,NLD,Netherlands,DEU,Germany,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,133509594526.0,133509594526.0,True
20080101,A,C,2008,52,NGA,Nigeria,CHN,China,H2,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,268092957.0,268092957.0,True
20080101,A,C,2008,52,NGA,Nigeria,DEU,Germany,H2,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,1907004967.0,0.0,1907004967.0,True
20080101,A,C,2008,52,RUS,Russian Federation,DEU,Germany,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,34075574753.0,0.0,34075574753.0,True
20080101,A,C,2008,52,RUS,Russian Federation,DEU,Germany,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,33187251589.0,33187251589.0,True
20080101,A,C,2008,52,SAU,Saudi Arabia,DEU,Germany,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,8432226807.0,0.0,8432226807.0,True
