Period,Trade Flow,Reporter,Partner,2nd Partner,Customs Desc,Transport Mode,Commodity Code,Trade Value (US$),Net Weight(kg),Gross Weight,Qty Unit,Qty,Alternate Quantity unit,Alternate Quantity
2009,X,Canada,Italy,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,561,043,984",0,0,N/A,0,N/A,0
2009,M,Canada,Japan,World,TOTAL CPC,TOTAL MOT,TOTAL,"$10,860,575,302",0,0,N/A,0,N/A,0
2009,X,Canada,Japan,World,TOTAL CPC,TOTAL MOT,TOTAL,"$7,299,595,427",0,0,N/A,0,N/A,0
2009,M,Canada,Rep. of Korea,World,TOTAL CPC,TOTAL MOT,TOTAL,"$5,215,056,286",0,0,N/A,0,N/A,0
2009,X,Canada,Rep. of Korea,World,TOTAL CPC,TOTAL MOT,TOTAL,"$3,100,333,914",0,0,N/A,0,N/A,0
2009,M,Canada,Mexico,World,TOTAL CPC,TOTAL MOT,TOTAL,"$14,531,602,919",0,0,N/A,0,N/A,0
2009,X,Canada,Mexico,World,TOTAL CPC,TOTAL MOT,TOTAL,"$4,220,206,046",0,0,N/A,0,N/A,0
2009,M,Canada,Netherlands,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,645,479,313",0,0,N/A,0,N/A,0
2009,X,Canada,Netherlands,World,TOTAL CPC,TOTAL MOT,TOTAL,"$2,419,939,687",0,0,N/A,0,N/A,0
2009,M,Canada,Russian Federation,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,349,446,679",0,0,N/A,0,N/A,0
2009,X,Canada,Russian Federation,World,TOTAL CPC,TOTAL MOT,TOTAL,"$781,378,649",0,0,N/A,0,N/A,0
2009,M,Canada,India,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,761,385,673",0,0,N/A,0,N/A,0
2009,X,Canada,India,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,879,252,816",0,0,N/A,0,N/A,0
2009,M,Canada,Singapore,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,009,086,381",0,0,N/A,0,N/A,0
2009,X,Canada,Singapore,World,TOTAL CPC,TOTAL MOT,TOTAL,"$952,730,657",0,0,N/A,0,N/A,0
2009,M,Canada,Spain,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,169,375,775",0,0,N/A,0,N/A,0
2009,X,Canada,Spain,World,TOTAL CPC,TOTAL MOT,TOTAL,"$981,934,314",0,0,N/A,0,N/A,0
2009,M,Canada,Switzerland,World,TOTAL CPC,TOTAL MOT,TOTAL,"$3,029,419,225",0,0,N/A,0,N/A,0
2009,X,Canada,Switzerland,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,043,572,429",0,0,N/A,0,N/A,0
2009,M,Canada,United Kingdom,World,TOTAL CPC,TOTAL MOT,TOTAL,"$8,257,927,812",0,0,N/A,0,N/A,0
2009,X,Canada,United Kingdom,World,TOTAL CPC,TOTAL MOT,TOTAL,"$10,588,184,304",0,0,N/A,0,N/A,0
2009,M,Canada,USA,World,TOTAL CPC,TOTAL MOT,TOTAL,"$164,245,761,452",0,0,N/A,0,N/A,0
2009,X,Canada,USA,World,TOTAL CPC,TOTAL MOT,TOTAL,"$236,480,911,520",0,0,N/A,0,N/A,0
2009,M,France,Australia,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,409,435,431",0,0,N/A,0,N/A,0
2009,X,France,Australia,World,TOTAL CPC,TOTAL MOT,TOTAL,"$3,476,213,486",0,0,N/A,0,N/A,0
