typecode,refyear,reporteriso,reporterdesc,partneriso,partnerdesc,flowcode,cmdcode,cmddesc,qty,netwgt,cifvalue,fobvalue,primaryvalue,isreported
C,2008,SAU,Saudi Arabia,CAN,Canada,M,TOTAL,All Commodities,0.0,0.0,1762907004,0,1762907004,True
C,2008,RUS,Russian Federation,CAN,Canada,X,TOTAL,All Commodities,0.0,0.0,0,939836078,939836078,True
C,2008,RUS,Russian Federation,CAN,Canada,M,TOTAL,All Commodities,0.0,0.0,1630472502,0,1630472502,True
C,2008,NGA,Nigeria,CAN,Canada,X,TOTAL,All Commodities,0.0,0.0,0,1504008528,1504008528,True
C,2008,NGA,Nigeria,CAN,Canada,M,TOTAL,All Commodities,0.0,0.0,24791251,0,24791251,True
C,2008,NGA,Nigeria,ITA,Italy,M,TOTAL,All Commodities,0.0,0.0,729880469,0,729880469,True
C,2008,NLD,Netherlands,CAN,Canada,X,TOTAL,All Commodities,0.0,0.0,0,2542423518,2542423518,True
C,2008,SAU,Saudi Arabia,BRA,Brazil,X,TOTAL,All Commodities,0.0,0.0,0,52268332,52268332,True
C,2008,SAU,Saudi Arabia,BRA,Brazil,M,TOTAL,All Commodities,0.0,0.0,2876454529,0,2876454529,True
C,2008,RUS,Russian Federation,BRA,Brazil,X,TOTAL,All Commodities,0.0,0.0,0,2040699228,2040699228,True
C,2008,RUS,Russian Federation,BRA,Brazil,M,TOTAL,All Commodities,0.0,0.0,4670669650,0,4670669650,True
C,2008,NGA,Nigeria,BRA,Brazil,X,TOTAL,All Commodities,0.0,0.0,0,5308027458,5308027458,True
C,2008,NGA,Nigeria,BRA,Brazil,M,TOTAL,All Commodities,0.0,0.0,493706647,0,493706647,True
C,2008,NLD,Netherlands,CAN,Canada,M,TOTAL,All Commodities,0.0,0.0,2266269773,0,2266269773,True
C,2008,NGA,Nigeria,ITA,Italy,X,TOTAL,All Commodities,0.0,0.0,0,2687781986,2687781986,True
C,2008,RUS,Russian Federation,ITA,Italy,M,TOTAL,All Commodities,0.0,0.0,10995286122,0,10995286122,True
C,2008,RUS,Russian Federation,ITA,Italy,X,TOTAL,All Commodities,0.0,0.0,0,41955811385,41955811385,True
C,2008,RUS,Russian Federation,NGA,Nigeria,X,TOTAL,All Commodities,0.0,0.0,0,282395061,282395061,True
C,2008,SAU,Saudi Arabia,NGA,Nigeria,M,TOTAL,All Commodities,0.0,0.0,383734,0,383734,True
C,2008,SAU,Saudi Arabia,NGA,Nigeria,X,TOTAL,All Commodities,0.0,0.0,0,75247294,75247294,True
C,2008,NLD,Netherlands,RUS,Russian Federation,M,TOTAL,All Commodities,0.0,0.0,19208015216,0,19208015216,True
C,2008,NLD,Netherlands,RUS,Russian Federation,X,TOTAL,All Commodities,0.0,0.0,0,9665094610,9665094610,True
C,2008,NGA,Nigeria,RUS,Russian Federation,M,TOTAL,All Commodities,0.0,0.0,114285096,0,114285096,True
C,2008,NGA,Nigeria,RUS,Russian Federation,X,TOTAL,All Commodities,0.0,0.0,0,4898334,4898334,True
C,2008,SAU,Saudi Arabia,RUS,Russian Federation,M,TOTAL,All Commodities,0.0,0.0,1073140808,0,1073140808,True
C,2008,SAU,Saudi Arabia,RUS,Russian Federation,X,TOTAL,All Commodities,0.0,0.0,0,12216015,12216015,True
C,2008,NLD,Netherlands,SAU,Saudi Arabia,M,TOTAL,All Commodities,0.0,0.0,5096799509,0,5096799509,True
C,2008,NLD,Netherlands,SAU,Saudi Arabia,X,TOTAL,All Commodities,0.0,0.0,0,2309955963,2309955963,True
C,2008,NGA,Nigeria,SAU,Saudi Arabia,M,TOTAL,All Commodities,0.0,0.0,57853883,0,57853883,True
C,2008,NGA,Nigeria,SAU,Saudi Arabia,X,TOTAL,All Commodities,0.0,0.0,0,2404466,2404466,True
C,2008,RUS,Russian Federation,SAU,Saudi Arabia,M,TOTAL,All Commodities,0.0,0.0,22763072,0,22763072,True
C,2008,RUS,Russian Federation,SAU,Saudi Arabia,X,TOTAL,All Commodities,0.0,0.0,0,465991397,465991397,True
C,2008,NLD,Netherlands,IND,India,M,TOTAL,All Commodities,0.0,0.0,3402739160,0,3402739160,True
C,2008,NLD,Netherlands,IND,India,X,TOTAL,All Commodities,0.0,0.0,0,2306177704,2306177704,True
C,2008,SAU,Saudi Arabia,SGP,Singapore,X,TOTAL,All Commodities,0.0,0.0,0,1392421741,1392421741,True
C,2008,SAU,Saudi Arabia,SGP,Singapore,M,TOTAL,All Commodities,0.0,0.0,746311066,0,746311066,True
