typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20130101,2013,52,2013,76,BRA,Brazil,X,Export,528,NLD,Netherlands,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,,13349719409.0,13349719409.0,4,False,True
C,A,20130101,2013,52,2013,36,AUS,Australia,M,Import,566,NGA,Nigeria,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,,False,-1,,,False,,False,,False,,1804843273.0,1804843273.0,0,True,False
C,A,20130101,2013,52,2013,36,AUS,Australia,X,Export,566,NGA,Nigeria,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,,False,-1,,,False,,False,,False,,155079934.0,155079934.0,0,True,False
C,A,20130101,2013,52,2013,56,BEL,Belgium,M,Import,566,NGA,Nigeria,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,73087690.973,0.0,73087690.973,4,False,True
C,A,20130101,2013,52,2013,56,BEL,Belgium,X,Export,566,NGA,Nigeria,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,0.0,1132978022.562,1132978022.562,4,False,True
C,A,20130101,2013,52,2013,76,BRA,Brazil,M,Import,566,NGA,Nigeria,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,9773850105.0,9646431142.0,9773850105.0,4,False,True
C,A,20130101,2013,52,2013,76,BRA,Brazil,X,Export,566,NGA,Nigeria,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,,875860989.0,875860989.0,4,False,True
C,A,20130101,2013,52,2013,36,AUS,Australia,M,Import,643,RUS,Russian Federation,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,,False,-1,,,False,,False,,False,,991815059.0,991815059.0,0,True,False
C,A,20130101,2013,52,2013,36,AUS,Australia,X,Export,643,RUS,Russian Federation,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,,False,-1,,,False,,False,,False,,470158949.0,470158949.0,0,True,False
C,A,20130101,2013,52,2013,56,BEL,Belgium,M,Import,643,RUS,Russian Federation,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,9865320870.1,0.0,9865320870.1,4,False,True
